noise,env,model,n_train,n_seeds,one_step_mse_mean,valid_steps_mean,energy_max_drift_mean,divergence_rate_mean,one_step_mse_std,valid_steps_std,energy_max_drift_std,divergence_rate_std
clean,Acrobot,Structured_HNN,1000,5,0.00854042898863554,14.64,15.436404943466187,0.0,0.0013040097518815374,0.8708616422830894,1.9489071180205042,0.0
clean,Acrobot,Structured_HNN,4000,5,0.001385022804606706,27.32,7.726292724609377,0.0,0.0005888188889263672,2.5222212432695112,2.865219351120887,0.0
clean,Acrobot,Vanilla_GP,250,5,0.021152370795607566,44.879999999999995,63.8599178981781,0.0,0.002881702924099273,5.312024096330891,57.71301297602541,0.0
clean,Acrobot,Vanilla_GP,1000,5,0.008370030857622623,68.08000000000001,8.62076358795166,0.0,0.0009392238097833854,3.932632705961745,1.9291571160397782,0.0
clean,Acrobot,Vanilla_GP,4000,5,0.008460472524166106,67.64,9.700590143203735,0.0,0.0016988764972260932,9.832517480279401,2.86857574767478,0.0
clean,Acrobot,Vanilla_MLP,250,5,0.07252313047647477,11.72,233.24547229766844,0.16,0.004549868177238311,2.538030732674449,222.33420918664905,0.233238075793812
clean,Acrobot,Vanilla_MLP,1000,5,0.04743413925170899,16.84,165.61043453216553,0.12,0.005542117226407338,3.8165953414005007,220.98263074690345,0.24
clean,Acrobot,Vanilla_MLP,4000,5,0.006133345980197191,25.840000000000003,19.754021549224852,0.0,0.0007844653345871378,2.3542302351299456,6.001344946456149,0.0
clean,Pendubot,Hamiltonian_NN,250,5,0.07545366585254669,21.080000000000002,20.798848857879637,0.0,0.0008968048525185904,0.8447484832777151,7.62047590963844,0.0
clean,Pendubot,Hamiltonian_NN,1000,5,0.04380087926983833,6.8,503.49585762023935,0.0,0.0017594143238127006,0.2190890230020663,224.17493722191426,0.0
clean,Pendubot,Hamiltonian_NN,4000,5,0.015503994561731816,12.2,995.016318359375,0.31999999999999995,0.00026579188424170815,0.4560701700396553,6.358397939673017,0.16
clean,Pendubot,Lagrangian_GP,250,5,0.021832270547747612,23.919999999999998,126.20902424812316,0.08,0.006060224861541564,10.177308092025122,154.63875856861313,0.16
clean,Pendubot,Lagrangian_GP,1000,5,0.0029898537322878838,82.36,10.252223634719849,0.0,0.0005337998426370933,18.20127468063707,2.70586630187137,0.0
clean,Pendubot,Lagrangian_GP,4000,5,0.002270570583641529,58.6,6.719179258346557,0.0,0.000179550489356311,20.329289215316898,0.5872471109714974,0.0
clean,Pendubot,Lagrangian_NN,250,5,0.026067377626895906,14.080000000000002,96.13342437744141,0.08,0.006196640511223123,1.8659046063504965,156.05958850128198,0.16
clean,Pendubot,Lagrangian_NN,1000,5,0.009304249286651611,16.0,14.3647957611084,0.0,0.0014763260661571499,1.528397853963424,1.8172932634263985,0.0
clean,Pendubot,Lagrangian_NN,4000,5,0.0025719076162204146,26.919999999999998,9.948722171783448,0.0,0.0011500888166064663,5.819415778237538,4.52661189578534,0.0
clean,Pendubot,Polynomial,250,5,0.04908071905374527,12.080000000000002,589.0344579315185,0.4800000000000001,0.003624596729789313,2.758550343930667,140.9327756070758,0.20396078054371142
clean,Pendubot,Polynomial,1000,5,0.04467908143997192,13.879999999999999,395.0060116958618,0.32,0.0027609131128358867,2.041959842896035,192.01791564027238,0.20396078054371136
clean,Pendubot,Polynomial,4000,5,0.04135395735502243,11.879999999999999,297.836061668396,0.16,0.000449385859528553,0.41182520563947983,109.28853240960969,0.08
clean,Pendubot,Structured_HNN,250,5,0.026067250594496726,14.080000000000002,96.13342426300048,0.08,0.006196444662040569,1.8659046063504965,156.05967235261514,0.16
clean,Pendubot,Structured_HNN,1000,5,0.009304248169064522,16.0,14.364793014526366,0.0,0.0014763251782572337,1.528397853963424,1.8172918385175076,0.0
clean,Pendubot,Structured_HNN,4000,5,0.002571908221580088,26.919999999999998,9.948711013793947,0.0,0.0011500886582368568,5.819415778237538,4.526607336129496,0.0
clean,Pendubot,Vanilla_GP,250,5,0.02267289124429226,41.04,34.82149642944336,0.0,0.005421816720984975,7.42040430165365,31.019083277937142,0.0
clean,Pendubot,Vanilla_GP,1000,5,0.0072136446833610535,72.08000000000001,8.965005807876588,0.0,0.0008478033505666556,6.690411048657626,0.8316969832253521,0.0
clean,Pendubot,Vanilla_GP,4000,5,0.008826343435794115,71.4,11.294528064727782,0.0,0.0015999126684768062,9.166024219911272,4.27337696915593,0.0
clean,Pendubot,Vanilla_MLP,250,5,0.06605129837989807,11.0,166.5450569534302,0.08,0.004419069796685234,1.2198360545581528,163.36849676766946,0.16
clean,Pendubot,Vanilla_MLP,1000,5,0.045482297986745836,21.68,40.9077144241333,0.0,0.0040601332785467235,2.141401410291868,17.954637742635903,0.0
clean,Pendubot,Vanilla_MLP,4000,5,0.007162425108253956,28.0,18.657517967224123,0.0,0.0005550103530849422,3.9253025361110696,3.2530932943117428,0.0
noisy,Acrobot,Hamiltonian_NN,4000,5,0.019533075392246246,11.68,997.1567187500001,0.2,0.0005576288346274617,0.37094473981982806,5.68656249999999,0.1264911064067352
noisy,Acrobot,Lagrangian_GP,4000,5,0.0033186380285769703,36.36,8.556672515869142,0.0,0.0003111191121847823,4.577160691957405,3.3410531886331762,0.0
noisy,Acrobot,Lagrangian_NN,4000,5,0.0033258839510381224,35.44,8.471017684936523,0.0,0.0003133117005116493,4.540308359572067,3.373340069823197,0.0
noisy,Acrobot,Polynomial,4000,5,0.05497328191995621,17.32,564.9443326568604,0.2,0.0006768158514422371,4.31851826440505,72.52691225628188,0.1788854381999832
